cat,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,lbp_18,lbp_19,lbp_20,lbp_21,lbp_22,lbp_23,lbp_24,lbp_25
0.0,0.054416,0.01616,0.0216,0.02376,0.020496,0.017408,0.016784,0.016928,0.01928,0.022288,0.027536,0.0392,0.050944,0.058384,0.050144,0.038656,0.02736,0.022352,0.017808,0.01624,0.0176,0.020336,0.018912,0.013168,0.048048,0.304192
0.0,0.055808,0.018608,0.02456,0.024928,0.02024,0.017184,0.014832,0.015392,0.017168,0.019856,0.02664,0.040448,0.055888,0.06008,0.04384,0.032176,0.02304,0.020112,0.017744,0.018992,0.021056,0.022784,0.02096,0.015456,0.047696,0.304512
0.0,0.04232,0.014432,0.020016,0.023136,0.024464,0.023248,0.020592,0.020816,0.022224,0.026512,0.036208,0.052096,0.063248,0.060656,0.042976,0.03432,0.026352,0.023648,0.02168,0.022464,0.02256,0.0224,0.01944,0.012256,0.049936,0.252
0.0,0.068992,0.021056,0.026736,0.026016,0.022176,0.016768,0.015072,0.014512,0.015168,0.016304,0.020384,0.027744,0.03496,0.0352,0.024688,0.022448,0.017872,0.018144,0.016624,0.018464,0.02192,0.027536,0.027136,0.018752,0.05944,0.365888
0.0,0.053024,0.01768,0.024016,0.024752,0.023808,0.020576,0.017616,0.017136,0.017968,0.022512,0.027648,0.037104,0.049824,0.0488,0.040848,0.03264,0.025872,0.023472,0.021392,0.022288,0.022256,0.022768,0.021024,0.013728,0.049408,0.30184
0.0,0.0608,0.020064,0.028144,0.026976,0.022464,0.01888,0.016288,0.015568,0.014896,0.01664,0.022768,0.0336,0.04368,0.041008,0.03032,0.024736,0.018912,0.017632,0.017696,0.018544,0.021264,0.026128,0.024112,0.017056,0.057872,0.343952
0.0,0.05744,0.020112,0.025136,0.0264,0.022592,0.0184,0.017088,0.016816,0.016848,0.021056,0.026416,0.034544,0.040432,0.039872,0.03336,0.029664,0.023328,0.021488,0.019872,0.019952,0.021888,0.024192,0.023408,0.015824,0.05336,0.330512
0.0,0.062688,0.020336,0.0252,0.025584,0.023328,0.019264,0.015584,0.014656,0.016032,0.018096,0.022752,0.030784,0.04184,0.041824,0.030464,0.025168,0.020448,0.019488,0.017376,0.019344,0.023728,0.02816,0.023904,0.016288,0.055888,0.341776
0.0,0.052512,0.01776,0.024128,0.024112,0.02288,0.019024,0.015824,0.016208,0.018176,0.021984,0.029328,0.041712,0.053568,0.053104,0.038416,0.03064,0.023248,0.020928,0.019536,0.020256,0.022432,0.023776,0.020112,0.01344,0.05064,0.306256
0.0,0.0576,0.01912,0.02696,0.025616,0.022192,0.019504,0.017088,0.016928,0.016112,0.020336,0.02488,0.03472,0.043856,0.04496,0.035232,0.028784,0.02312,0.020816,0.019136,0.020192,0.020816,0.024544,0.023664,0.01616,0.052368,0.325296
0.0,0.048496,0.015472,0.021808,0.02448,0.023088,0.021888,0.018352,0.019104,0.020768,0.023552,0.031248,0.043376,0.058224,0.061248,0.04784,0.03664,0.02744,0.023856,0.019376,0.01864,0.021392,0.02112,0.018304,0.013424,0.045968,0.274896
0.0,0.056176,0.017792,0.023456,0.024736,0.022672,0.019584,0.01744,0.017136,0.0188,0.02208,0.025792,0.035008,0.0436,0.046992,0.039472,0.034384,0.025392,0.021568,0.018384,0.019568,0.020928,0.022992,0.022832,0.014832,0.04856,0.319824
0.0,0.060064,0.021888,0.02904,0.027664,0.021936,0.016896,0.014112,0.014128,0.015088,0.017456,0.024816,0.033584,0.043904,0.041904,0.031776,0.02472,0.019936,0.017408,0.01744,0.018208,0.021344,0.025184,0.024896,0.017472,0.055728,0.343408
0.0,0.06664,0.02328,0.028832,0.028672,0.022128,0.017872,0.01512,0.014848,0.016288,0.01728,0.020128,0.026576,0.031504,0.03176,0.024608,0.021264,0.016896,0.016768,0.017392,0.01928,0.024224,0.02808,0.026016,0.017168,0.062912,0.364464
0.0,0.060144,0.020384,0.026928,0.02496,0.021648,0.01632,0.01368,0.013424,0.013968,0.017968,0.0248,0.034704,0.044352,0.045568,0.035056,0.028656,0.023184,0.020432,0.01936,0.020432,0.02272,0.024848,0.0228,0.015952,0.052288,0.335424
0.0,0.062528,0.018128,0.024432,0.024576,0.02288,0.019344,0.015968,0.015328,0.01584,0.018512,0.022608,0.028544,0.039152,0.04536,0.039472,0.03248,0.023168,0.020432,0.016224,0.016432,0.017968,0.023728,0.022464,0.01784,0.053872,0.34272
0.0,0.058288,0.017712,0.023264,0.024,0.023504,0.020704,0.01712,0.018464,0.018832,0.020944,0.024832,0.034656,0.04432,0.044464,0.034016,0.027856,0.021408,0.02008,0.017504,0.020608,0.022096,0.02408,0.02176,0.016736,0.055968,0.326784
0.0,0.072352,0.027232,0.032384,0.02664,0.017168,0.011472,0.008544,0.00896,0.008608,0.011456,0.013536,0.021488,0.029152,0.029904,0.019408,0.016048,0.012208,0.012256,0.012064,0.013968,0.018112,0.02648,0.030048,0.023952,0.069856,0.426704
0.0,0.062304,0.01936,0.02472,0.027584,0.02512,0.019792,0.01752,0.016848,0.017328,0.020384,0.024976,0.031536,0.034992,0.036432,0.028096,0.024784,0.018832,0.018352,0.015872,0.018016,0.022752,0.025952,0.024944,0.017984,0.059104,0.346416
0.0,0.072256,0.021744,0.028528,0.028608,0.023552,0.016352,0.012304,0.01328,0.013664,0.015824,0.018848,0.024656,0.029248,0.030608,0.023824,0.02064,0.016272,0.015968,0.014272,0.017008,0.024032,0.028032,0.026208,0.01888,0.064768,0.380624
0.0,0.054416,0.018384,0.024352,0.02576,0.024592,0.020304,0.016656,0.01696,0.01744,0.019904,0.026128,0.038912,0.050624,0.052544,0.035664,0.027584,0.020672,0.018592,0.01624,0.019872,0.022496,0.025168,0.023728,0.015744,0.053232,0.314032
0.0,0.055712,0.020624,0.02648,0.02672,0.022864,0.018224,0.016368,0.016048,0.017536,0.019232,0.025552,0.035888,0.047408,0.046592,0.032512,0.02656,0.021136,0.020016,0.018528,0.018576,0.021808,0.0252,0.025136,0.016688,0.05088,0.327712
0.0,0.042256,0.016144,0.019264,0.02152,0.022176,0.020032,0.01888,0.020096,0.024192,0.0272,0.033104,0.0452,0.058112,0.0692,0.058096,0.045648,0.03232,0.02512,0.019984,0.019568,0.018016,0.019024,0.015728,0.010816,0.039296,0.259008
0.0,0.05752,0.019248,0.027376,0.025776,0.023632,0.017968,0.01592,0.015568,0.015392,0.0192,0.024304,0.03336,0.045408,0.045264,0.034208,0.028992,0.021728,0.020192,0.017264,0.018384,0.02224,0.023632,0.022736,0.015568,0.056016,0.333104
0.0,0.051472,0.01912,0.023504,0.024048,0.021504,0.018928,0.0168,0.017008,0.01864,0.021488,0.02768,0.038128,0.049824,0.053264,0.040784,0.032832,0.024496,0.0224,0.020192,0.021248,0.02256,0.023984,0.02192,0.014224,0.053168,0.300784
0.0,0.060512,0.017008,0.023232,0.026144,0.022336,0.022048,0.019008,0.018304,0.019824,0.021456,0.024976,0.033472,0.04304,0.044096,0.036592,0.031072,0.023648,0.022032,0.019568,0.01984,0.021296,0.023168,0.020928,0.014864,0.055408,0.316128
0.0,0.046048,0.0152,0.02136,0.024544,0.023632,0.021104,0.02064,0.02024,0.02368,0.026672,0.034032,0.044144,0.061184,0.06256,0.043984,0.035984,0.026704,0.024272,0.021856,0.022352,0.022496,0.021584,0.017232,0.010672,0.044416,0.263408
0.0,0.051664,0.017568,0.022816,0.025824,0.022512,0.019664,0.017872,0.01688,0.019552,0.022928,0.028768,0.041072,0.05552,0.0588,0.044272,0.033904,0.025584,0.023216,0.020976,0.02072,0.022624,0.022528,0.018176,0.01328,0.048144,0.285136
0.0,0.057168,0.019792,0.02424,0.025968,0.01984,0.016864,0.014352,0.014096,0.014912,0.01816,0.023872,0.033248,0.044368,0.046416,0.03328,0.027136,0.020672,0.020224,0.017632,0.020144,0.023376,0.025408,0.023312,0.017232,0.06408,0.334208
0.0,0.04968,0.018064,0.02336,0.021552,0.022064,0.019824,0.017408,0.01792,0.019808,0.021632,0.028976,0.039264,0.05184,0.057664,0.046416,0.039312,0.027472,0.023536,0.019376,0.02032,0.020544,0.02112,0.01984,0.013744,0.045056,0.294208
0.0,0.071504,0.02736,0.031936,0.029488,0.021248,0.014464,0.011216,0.01032,0.009776,0.011104,0.01464,0.020736,0.026224,0.028912,0.022512,0.019088,0.01424,0.013664,0.01288,0.01528,0.020048,0.027296,0.029424,0.021504,0.067616,0.40752
0.0,0.03,0.010096,0.014768,0.016704,0.019264,0.023552,0.022992,0.025904,0.030096,0.035072,0.046384,0.06712,0.082368,0.087056,0.065712,0.049824,0.037808,0.029472,0.024592,0.021696,0.01808,0.015296,0.011984,0.007024,0.03488,0.172256
0.0,0.074608,0.023648,0.030352,0.027344,0.020704,0.0132,0.010288,0.01064,0.010016,0.011648,0.014144,0.022064,0.030096,0.036048,0.026304,0.021824,0.0152,0.015264,0.013696,0.014992,0.021024,0.026656,0.026576,0.02008,0.069136,0.394448
0.0,0.023424,0.007344,0.012576,0.014416,0.017568,0.02264,0.023712,0.027616,0.03192,0.036816,0.05128,0.080096,0.112592,0.112112,0.077872,0.049808,0.033392,0.026272,0.019376,0.017776,0.016208,0.012432,0.009008,0.005824,0.022896,0.135024
0.0,0.062672,0.0208,0.027648,0.0276,0.021488,0.016976,0.014304,0.013808,0.015152,0.016032,0.020192,0.027568,0.0356,0.036912,0.031056,0.02728,0.022576,0.021904,0.019152,0.020704,0.02304,0.025104,0.023792,0.015424,0.061504,0.351712
0.0,0.06096,0.019664,0.026944,0.025344,0.021792,0.018144,0.015648,0.015376,0.0152,0.01808,0.024384,0.033536,0.046928,0.049792,0.037472,0.028992,0.0228,0.021536,0.019808,0.019792,0.02168,0.024624,0.023072,0.015568,0.053488,0.319376
0.0,0.056448,0.01824,0.025392,0.02704,0.024528,0.021728,0.018256,0.017392,0.01872,0.02096,0.028048,0.036192,0.040336,0.041696,0.031968,0.02768,0.021184,0.02208,0.018832,0.021184,0.024576,0.025792,0.023568,0.015664,0.057792,0.314704
0.0,0.059456,0.017824,0.024848,0.02416,0.022288,0.018416,0.01736,0.017712,0.019792,0.021216,0.02656,0.036112,0.046768,0.047824,0.036992,0.029888,0.023184,0.02176,0.01872,0.02032,0.022224,0.023696,0.021984,0.014,0.053824,0.313072
0.0,0.054304,0.018448,0.026448,0.02496,0.02136,0.01632,0.014624,0.015648,0.01528,0.019488,0.02648,0.040288,0.049408,0.052288,0.036672,0.03016,0.022032,0.020944,0.018976,0.01864,0.021472,0.02336,0.02488,0.01624,0.055232,0.316048
0.0,0.06672,0.020432,0.02584,0.027904,0.022832,0.019168,0.014992,0.014608,0.014384,0.015952,0.020656,0.028,0.034672,0.037712,0.028896,0.026256,0.020176,0.019584,0.017504,0.018592,0.022848,0.026752,0.024768,0.016928,0.061184,0.35264
0.0,0.061968,0.020208,0.02728,0.026688,0.023568,0.017424,0.015968,0.015648,0.01584,0.016992,0.020624,0.028112,0.035744,0.036592,0.028992,0.026912,0.020656,0.01968,0.018176,0.018832,0.021808,0.027184,0.026128,0.01792,0.062688,0.348368
0.0,0.051936,0.018368,0.023184,0.022448,0.019712,0.018496,0.017216,0.01912,0.019392,0.022784,0.029904,0.038672,0.050288,0.053776,0.039584,0.030944,0.022384,0.020544,0.017072,0.017376,0.021648,0.022928,0.02136,0.014528,0.052096,0.31424
0.0,0.062912,0.022336,0.025904,0.024496,0.01992,0.016368,0.013264,0.01288,0.014752,0.016864,0.021008,0.032272,0.04368,0.04128,0.029488,0.025536,0.019856,0.018896,0.017072,0.018048,0.020576,0.023808,0.022928,0.017472,0.057936,0.360448
0.0,0.067536,0.02136,0.02792,0.026864,0.021616,0.016064,0.013328,0.01304,0.013072,0.01552,0.019472,0.02688,0.036656,0.041536,0.033072,0.02504,0.018016,0.016192,0.015872,0.01768,0.021552,0.024864,0.024464,0.018448,0.062288,0.361648
0.0,0.060128,0.020816,0.029232,0.026976,0.022064,0.016656,0.014336,0.013664,0.014256,0.017312,0.022944,0.031248,0.04264,0.04112,0.031696,0.0268,0.020976,0.020512,0.018048,0.018816,0.021808,0.02472,0.024512,0.018512,0.05368,0.346528
0.0,0.066512,0.022832,0.02832,0.025584,0.019792,0.01456,0.012464,0.011024,0.012624,0.015232,0.0192,0.027728,0.037856,0.039552,0.02992,0.023472,0.018368,0.017008,0.015296,0.018576,0.02104,0.027312,0.025072,0.017792,0.059952,0.372912
0.0,0.067952,0.026464,0.029104,0.024832,0.019856,0.014528,0.011072,0.010672,0.011488,0.012496,0.015856,0.0208,0.027024,0.030192,0.023632,0.020592,0.016,0.015328,0.01496,0.016624,0.020592,0.028208,0.028992,0.019376,0.066448,0.406912
0.0,0.059424,0.019792,0.028912,0.029024,0.023296,0.016832,0.015168,0.01536,0.016,0.017184,0.024272,0.032784,0.04184,0.041456,0.030688,0.024864,0.02032,0.018176,0.018624,0.019792,0.023392,0.02616,0.025328,0.017008,0.054512,0.339792
0.0,0.06224,0.01816,0.025424,0.02552,0.022416,0.019152,0.016096,0.015008,0.015312,0.016432,0.021712,0.03032,0.040992,0.04648,0.039696,0.031856,0.02688,0.024112,0.020592,0.020304,0.021792,0.023504,0.020144,0.015408,0.052912,0.327536
0.0,0.05192,0.017312,0.022784,0.024688,0.0236,0.020752,0.020144,0.018688,0.01984,0.023968,0.029504,0.041536,0.054208,0.054672,0.042656,0.03288,0.025872,0.023328,0.02208,0.022576,0.02384,0.02224,0.020688,0.013152,0.044176,0.282896
0.0,0.06288,0.022992,0.029776,0.02616,0.021152,0.017216,0.014464,0.01288,0.013792,0.015312,0.0204,0.027952,0.04056,0.039792,0.031232,0.023088,0.018096,0.01592,0.01368,0.01696,0.02184,0.026912,0.027024,0.01936,0.059872,0.360688
0.0,0.057568,0.019776,0.02424,0.024496,0.021104,0.017632,0.016224,0.016176,0.017504,0.020864,0.026944,0.037312,0.04872,0.050608,0.037296,0.0296,0.022704,0.02064,0.017152,0.01816,0.021104,0.024048,0.02184,0.016352,0.0516,0.320336
0.0,0.04424,0.016048,0.020816,0.022448,0.021776,0.019728,0.018768,0.019568,0.021936,0.024976,0.03144,0.046512,0.059088,0.066736,0.051744,0.04104,0.029088,0.024128,0.019936,0.018816,0.019376,0.02016,0.016368,0.01256,0.043712,0.268992
0.0,0.049168,0.018144,0.022688,0.022448,0.020544,0.018272,0.014368,0.015696,0.017568,0.021216,0.027008,0.039584,0.051392,0.056512,0.04496,0.034656,0.025504,0.0228,0.018928,0.019456,0.020064,0.023408,0.020576,0.014688,0.05256,0.307792
0.0,0.058304,0.020672,0.025712,0.025216,0.021248,0.018064,0.015792,0.016832,0.017328,0.020128,0.024064,0.02912,0.03512,0.038912,0.03128,0.027984,0.0224,0.022176,0.020064,0.021552,0.02312,0.025376,0.024368,0.0172,0.058336,0.339632
0.0,0.053376,0.018656,0.024592,0.027456,0.024192,0.018432,0.01704,0.015664,0.016896,0.019136,0.024704,0.035744,0.04712,0.05224,0.036432,0.031296,0.022208,0.021872,0.021248,0.019936,0.021232,0.02224,0.02248,0.015264,0.0592,0.311344
0.0,0.054816,0.016224,0.022336,0.025456,0.026672,0.023728,0.0208,0.02016,0.0216,0.023888,0.027456,0.037824,0.04368,0.048112,0.036112,0.029024,0.02152,0.021456,0.02056,0.021856,0.025008,0.026032,0.021936,0.014048,0.052112,0.297584
0.0,0.05616,0.019664,0.024496,0.025344,0.02296,0.01888,0.01584,0.016096,0.015872,0.01936,0.02392,0.033712,0.043168,0.050928,0.041296,0.031888,0.023152,0.0204,0.01744,0.018016,0.021728,0.024064,0.023024,0.015088,0.052032,0.325472
0.0,0.066608,0.023584,0.025824,0.0248,0.019776,0.015008,0.012192,0.01232,0.01264,0.015984,0.020176,0.027344,0.03672,0.037952,0.028832,0.024704,0.019216,0.017056,0.016096,0.016576,0.019568,0.024848,0.024368,0.01912,0.061008,0.37768
0.0,0.065456,0.023712,0.028832,0.02648,0.0208,0.016832,0.0136,0.012896,0.012704,0.013888,0.018272,0.02472,0.028896,0.032992,0.025024,0.021392,0.015696,0.017072,0.014928,0.016496,0.021392,0.026944,0.02752,0.019376,0.063712,0.390368
0.0,0.051456,0.017008,0.022736,0.025264,0.022512,0.018688,0.017888,0.017424,0.019248,0.023776,0.031648,0.044736,0.056,0.052768,0.040192,0.031856,0.025408,0.022544,0.020432,0.019552,0.021536,0.021248,0.019872,0.012912,0.046928,0.296368
0.0,0.071248,0.023184,0.029392,0.027392,0.02096,0.016352,0.013088,0.012768,0.013136,0.015248,0.018928,0.0232,0.030688,0.034752,0.027168,0.021936,0.016192,0.015072,0.014352,0.016752,0.021808,0.0276,0.029168,0.019392,0.06336,0.376864
0.0,0.053856,0.017728,0.024368,0.025088,0.024368,0.022064,0.019344,0.019488,0.018352,0.021232,0.026928,0.03504,0.044032,0.048352,0.035712,0.030912,0.022192,0.020864,0.019104,0.02064,0.024112,0.02568,0.02168,0.0148,0.05216,0.311904
0.0,0.054192,0.01792,0.023968,0.02576,0.023696,0.020432,0.01768,0.016736,0.018192,0.021328,0.027648,0.04032,0.052096,0.05032,0.037312,0.031664,0.024672,0.02248,0.020944,0.020736,0.023776,0.025392,0.022064,0.013472,0.04904,0.29816
0.0,0.06416,0.027952,0.035728,0.026784,0.017664,0.010864,0.008256,0.007184,0.008256,0.010736,0.01432,0.031776,0.048208,0.038048,0.020064,0.013744,0.0104,0.010288,0.010848,0.0132,0.020368,0.02736,0.032368,0.024128,0.060224,0.407072
0.0,0.045936,0.01376,0.020704,0.025312,0.024752,0.023808,0.021824,0.022672,0.023808,0.027504,0.032288,0.041856,0.050464,0.053632,0.037968,0.034192,0.02728,0.02688,0.023216,0.025248,0.024608,0.023552,0.019744,0.012688,0.058864,0.25744
0.0,0.07032,0.026176,0.029264,0.026688,0.019168,0.014192,0.01152,0.01112,0.011472,0.013136,0.016336,0.02432,0.029728,0.030944,0.021456,0.019216,0.01456,0.014272,0.013664,0.016752,0.021872,0.027936,0.028256,0.021088,0.067904,0.39864
